"model_name","upstream_model_id","model_type","unit","sku_key","price_usd","source_url","snapshot_version"
"re/ai-essay-writer","ai-essay-writer","text","per essay","ai-essay-writer:flat",0.000894,"https://reapi.ai/models/ai-essay-writer",1785200182468
"re/ai-text-detector","ai-text-detector","text","per 1,000 words","ai-text-detector:flat",0.000089,"https://reapi.ai/models/ai-text-detector",1785200182468
"re/audio-multistem","audio-multistem","audio","per selected stem minute","audio-multistem:flat",0.2,"https://reapi.ai/models/multistem-splitter",1785200182468
"re/audio-music-extractor","audio-music-extractor","audio","per started minute","audio-music-extractor:flat",0.2,"https://reapi.ai/models/music-extractor",1785200182468
"re/audio-stem-separator","audio-stem-separator","audio","per started minute","audio-stem-separator:flat",0.2,"https://reapi.ai/models/vocal-remover",1785200182468
"re/audio-voice-change","audio-voice-change","audio","per started minute","audio-voice-change:flat",0.2,"https://reapi.ai/models/voice-changer",1785200182468
"re/audio-voice-clean","audio-voice-clean","audio","per started minute","audio-voice-clean:flat",0.2,"https://reapi.ai/models/voice-cleaner",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:1080p:ref",0.23496,"https://reapi.ai/models/seedance-2-0",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:1080p:text",0.3872,"https://reapi.ai/models/seedance-2-0",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:480p:ref",0.0484,"https://reapi.ai/models/seedance-2-0",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:480p:text",0.079816,"https://reapi.ai/models/seedance-2-0",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:4k:ref",0.503112,"https://reapi.ai/models/seedance-2-0",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:4k:text",0.817559,"https://reapi.ai/models/seedance-2-0",1785200182468
"re/doubao-seedance-2.0","doubao-seedance-2.0","video","per second","doubao-seedance-2.0:720p:ref",0.10384,"https://reapi.ai/models/seedance-2-0",1785200182468
